codigo_dane,pai_et_municipios,establecimientos_educativos,matriculados,registrados,presentes,publicados
113442000297,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA TÉCNICA ACUICOLA SAN FRANCISCO DE ASIS,50,46,45,45
113442000718,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROINDUSTRIAL DE SAN PABLO,62,60,60,60
213442000003,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA NUEVA FLORIDA,46,41,41,41
113442000653,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE DESARROLLO RURAL DE MARIALABAJA,84,87,86,86
213442000968,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA SAN JOSÉ DE PLAYÓN,86,81,80,80
113442000076,MARÍA LA BAJA,INSTITUCIÓN EDUCATIVA SAN LUIS BELTRAN,70,65,64,64
213442000275,MARÍA LA BAJA,INSTITUCION EDUCATIVA DE CORREA,12,9,9,9
213006000171,MONTECRISTO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y MINERA DE MONTECRISTO,49,49,47,47
213006000278,MONTECRISTO,INSTITUCIÓN EDUCATIVA DE REGENCIA,9,9,8,8
213468001539,MOMPÓS,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE GUATACA,34,27,27,27
213468000117,MOMPÓS,INSTITUCIÒN EDUCATIVA TÈCNICA AMBIENTAL DE TIERRA FIRME,30,29,29,29
113468000015,MOMPÓS,INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR DE MOMPOX,151,150,146,146
213468001261,MOMPÓS,INSTITUCIÓN EDUCATIVA DE LAS BOQUILLAS,52,49,48,48
213468001547,MOMPÓS,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE LA RINCONADA,37,35,34,34
113468001038,MOMPÓS,INSTITUCIÓN EDUCATIVA TÉCNICA COLEGIO NACIONAL PINILLOS,90,104,100,100
313468001487,MOMPÓS,COL SANTA CRUZ DE MOMPOS,12,12,12,12
313468000022,MOMPÓS,COL SAGRADO CORAZON DE JESUS,44,44,44,44
213468001491,MOMPÓS,INSTITUCIÓN EDUCATIVA RIO GRANDE DE LA MAGDALENA,34,33,33,33
213468001512,MOMPÓS,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DEL CHICAGUA,38,35,35,35
113468000899,MOMPÓS,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y ORFEBRERIA TOMASA NAJERA,75,70,70,70
213468001369,MOMPÓS,INSTITUCION EDUCATIVA LA TRAVESIA,29,26,25,25
313473000251,MORALES,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA VICENTE HONDARZA,60,60,60,60
213473000915,MORALES,INSTITUCIÓN EDUCATIVA DEL DIQUE,13,13,13,13
213473001598,MORALES,INSTITUCIÓN EDUCATIVA DE MICOAHUMADO,10,10,10,10
213473000052,MORALES,INSTITUCIÓN EDUCATIVA LA PALMA,36,34,34,34
213473000923,MORALES,INSTITUCIÓN EDUCATIVA DE BODEGA CENTRAL,23,23,23,23
213473001296,MORALES,INSTITUCIÓN EDUCATIVA CORCOVADO,21,33,28,28
213600000687,NOROSÍ,INSTITUCIÓN EDUCATIVA DE NOROSÍ,44,43,42,42
213549000006,PINILLOS,INSTITUCIÓN EDUCATIVA DE ARMENIA,56,54,54,54
213549002513,PINILLOS,INSTITUCIÓN EDUCATIVA DE PUERTO LOPEZ,37,36,36,36
11354900001,PINILLOS,INSTITUCIÓN EDUCATIVA MANUEL FRANCISCO OBREGON,127,122,122,122
213549002025,PINILLOS,INSTITUCIÓN EDUCATIVA DE PALOMINO,20,20,20,20
213549002157,PINILLOS,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE LAS CONCHITAS,18,16,16,16
213549002424,PINILLOS,INSTITUCIÓN EDUCATIVA DE PALENQUITO,43,37,37,37
213549000065,PINILLOS,INSTITUCIÓN EDUCATIVA DE SANTA COA,32,30,30,30
213549001347,PINILLOS,INSTITUCIÓN EDUCATIVA DE LAS FLORES,18,18,17,17
213549003048,PINILLOS,INSTITUCIÓN EDUCATIVA  RUFINA VIEJA,11,11,11,11
213580000057,REGIDOR,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA  SAN ANTONIO,10,5,4,4
213580000081,REGIDOR,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA SANTA TERESA,10,10,10,10
113600000691,RÍO VIEJO,INSTITUCIÓN EDUCATIVA DE RIO VIEJO,38,38,38,38
213600000423,RÍO VIEJO,INSTITUCIÓN EDUCATIVA COBADILLO,30,10,10,10
213760000187,SAN CRISTÓBAL,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA FRANCISCO DE PAULA SANTANDER HIGUERETAL,35,36,36,36
213760000152,SAN CRISTÓBAL,INSTITUCIÓN EDUCATIVA TÉCNICA ACUICOLA DE SAN CRISTOBAL,63,59,58,58
113647000133,SAN ESTANISLAO,INSTITUCION EDUCATIVA FRANCISCO  DE PAULA SANTANDER,42,43,43,43
113647000125,SAN ESTANISLAO,INSTITUCION EDUCATIVA MAURICIO NELSON VISBAL,150,148,148,148
213647000154,SAN ESTANISLAO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE LAS PIEDRAS,91,88,88,88
213650000408,SAN FERNANDO,INSTITUCIÓN EDUCATIVA DE SANTA ROSA,43,37,37,37
113650000489,SAN FERNANDO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE SAN FERNANDO,67,64,64,64
113654000327,SAN JACINTO,INSTITUCIÓN EDUCATIVA PIO XII,192,192,187,187
