codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
25249000122,OLAYA HERRERA,INSTITUCION EDUCATIVA SAN JOSE CALABAZAL,42,Mayor,6,Mayor,17%,83%,0%,0%,59%,83%,85%,Matemáticas
252506000199,OSPINA,INSTITUCION EDUCATIVA CUNCHILA,51,Similar,13,Similar,9%,45%,45%,0%,58%,45%,65%,Matemáticas
45250600018,OSPINA,INSTITUCION EDUCATIVA SAN ISIDRO,52,Similar,11,Similar,10%,30%,60%,0%,65%,33%,50%,Matemáticas
152506000101,OSPINA,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,57,Similar,11,Similar,3%,17%,75%,6%,51%,36%,46%,Matemáticas
152520000016,FRANCISCO PIZARRO,INSTITUCION EDUCATIVA SEÑOR DEL MAR,43,Mayor,10,Similar,26%,55%,19%,0%,66%,52%,72%,Matemáticas
252520000169,FRANCISCO PIZARRO,INSTITUCIÓN EDUCATIVA AGROECOLÓGICO LA PLAYA,46,Similar,7,Mayor,11%,44%,44%,0%,78%,61%,74%,Matemáticas
252520000045,FRANCISCO PIZARRO,INSTITUCIÓN EDUCATIVA SAN PEDRO DEL VINO,33,Mayor,3,Mayor,100%,0%,0%,0%,76%,69%,78%,Matemáticas
252540000092,POLICARPA,INSTITUCION EDUCATIVA MADRIGAL SAN FRANCISCO DE ASIS,54,Similar,11,Similar,0%,42%,58%,0%,67%,35%,53%,Matemáticas
152540000136,POLICARPA,INSTITUCION EDUCATIVA  POLICARPA,51,Similar,10,Similar,6%,48%,42%,3%,63%,39%,60%,Matemáticas
252540000751,POLICARPA,INSTITUCION EDUCATIVA AGROPECUARIA ALTAMIRA,53,Similar,6,Mayor,0%,25%,75%,0%,64%,38%,50%,Matemáticas
252540000602,POLICARPA,INSTITUCION EDUCATIVA AGROPECUARIA EL EJIDO,51,Similar,10,Similar,10%,35%,50%,5%,60%,44%,67%,Matemáticas
252540000033,POLICARPA,INSTITUCIÓN EDUCATIVA SANTA CRUZ,49,Similar,11,Similar,12%,41%,47%,0%,54%,51%,65%,Matemáticas
25254000005,POLICARPA,INSTITUCIÓN EDUCATIVA RESTREPO,50,Similar,10,Similar,7%,43%,50%,0%,65%,41%,64%,Matemáticas
252540000041,POLICARPA,CENTRO EDUCATIVO SANCHEZ,38,Mayor,8,Mayor,40%,50%,10%,0%,80%,48%,81%,Matemáticas
25256000003,POTOSÍ,INSTITUCION EDUCATIVA BAJO SINAI,59,Menor,10,Similar,0%,14%,71%,14%,56%,27%,52%,Matemáticas
25256000034,POTOSÍ,INSTITUCION EDUCATIVA AGROPECUARIA LUIS ANTONIO MONTERO,59,Menor,9,Similar,0%,17%,72%,11%,47%,32%,33%,Matemáticas
252560000048,POTOSÍ,INSTITUCION EDUCATIVA SAN ANTONIO DE PADUA,57,Similar,9,Similar,0%,20%,70%,10%,51%,25%,59%,Matemáticas
252560000099,POTOSÍ,INSTITUCION EDUCATIVA INDIGENA SANTA TERESITA DE MUESES,54,Similar,7,Mayor,0%,36%,64%,0%,48%,30%,65%,Matemáticas
152560000124,POTOSÍ,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LOURDES,51,Similar,9,Similar,2%,52%,43%,4%,67%,47%,59%,Matemáticas
252838000893,PROVIDENCIA,INSTITUCION EDUCATIVA PROVIDENCIA,50,Similar,10,Similar,6%,46%,46%,2%,67%,42%,56%,Matemáticas
152573000093,PUERRES,INSTITUCION EDUCATIVA JUAN XXIII,56,Similar,9,Similar,0%,34%,59%,7%,60%,37%,46%,Matemáticas
252573000209,PUERRES,INSTITUCION EDUCATIVA MONOPAMBA,43,Mayor,8,Mayor,20%,50%,30%,0%,64%,50%,71%,Matemáticas
252573000195,PUERRES,INSTITUCION EDUCATIVA SAN MATEO,52,Similar,9,Similar,7%,40%,53%,0%,61%,40%,63%,Matemáticas
