codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
205154001922,CAUCASIA,I. E. R. VILLA FATIMA ARRIBA,40,Similar,6,Mayor,91%,9%,0%,0%,0%,Inglés
205154800035,CAUCASIA,I. E. R INDIGENA TRANQUILINO ROSARIO,38,Mayor,4,Mayor,96%,4%,0%,0%,0%,Inglés
105172001463,CHIGORODÓ,INSTITUCIÓN EDUCATIVA MUNICIPAL JOSE DE LOS SANTOS ZUÑIGA,45,Similar,7,Mayor,64%,29%,6%,0%,0%,Inglés
105172000629,CHIGORODÓ,I. E. JUAN EVANGELISTA BERRIO,44,Similar,8,Similar,75%,22%,2%,2%,0%,Inglés
105172000238,CHIGORODÓ,I.E. GONZALO MEJIA,50,Similar,9,Similar,43%,39%,14%,4%,0%,Inglés
105172000572,CHIGORODÓ,I. E. CHIGORODO,47,Similar,10,Similar,50%,47%,0%,0%,3%,Inglés
105172000076,CHIGORODÓ,INSTITUCION EDUCATIVA LOS ANDES,47,Similar,10,Similar,55%,29%,11%,4%,0%,Inglés
305172001403,CHIGORODÓ,COLEGIO DIOCESANO LAURA MONTOYA,54,Similar,10,Similar,35%,35%,19%,10%,0%,Inglés
10517200022,CHIGORODÓ,INSTITUCION EDUCATIVA MARIA AUXILIADORA,44,Similar,7,Mayor,67%,29%,5%,0%,0%,Inglés
205172000062,CHIGORODÓ,I. E. AGRICOLA DE URABA,44,Similar,7,Mayor,71%,27%,2%,0%,0%,Inglés
205147000309,CHIGORODÓ,INSTITUCIÓN EDUCATIVA RURAL INDIGENISTA POLINES,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Inglés
205172000101,CHIGORODÓ,I. E. R. BARRANQUILLITA,42,Similar,4,Mayor,91%,9%,0%,0%,0%,Inglés
205172000267,CHIGORODÓ,I. E. R. NEL UPEGUI,42,Similar,7,Mayor,78%,19%,3%,0%,0%,Inglés
205172001484,CHIGORODÓ,I. E. R. CELESTINO DIAZ,43,Similar,6,Mayor,85%,15%,0%,0%,0%,Inglés
105190000181,CISNEROS,I. E. CISNEROS,46,Similar,10,Similar,61%,28%,9%,3%,0%,Inglés
205197000059,COCORNÁ,I. E. EVA TULIA QUINTERO DE TORO,45,Similar,8,Similar,66%,24%,10%,0%,0%,Inglés
10519700016,COCORNÁ,I. E. COCORNA,49,Similar,11,Similar,52%,28%,12%,6%,2%,Inglés
105206000186,CONCEPCIÓN,I. E.  PRESBITERO LIBARDO AGUIRRE,47,Similar,12,Similar,52%,33%,5%,10%,0%,Inglés
105209000021,CONCORDIA,INSTITUCION EDUCATIVA DE JESUS,46,Similar,11,Similar,64%,22%,11%,3%,1%,Inglés
205209000122,CONCORDIA,C. E. R. MORELIA,40,Similar,7,Mayor,86%,12%,2%,0%,0%,Inglés
305212000057,COPACABANA,COLEGIO COOPERATIVO JUAN DEL CORRAL,61,Menor,12,Similar,13%,23%,30%,30%,3%,Inglés
105212000538,COPACABANA,I. E. GABRIELA MISTRAL,43,Similar,9,Similar,82%,11%,7%,0%,0%,Inglés
205212000222,COPACABANA,I. E. R. GRANIZADA,46,Similar,8,Similar,59%,34%,7%,0%,0%,Inglés
10521200083,COPACABANA,I. E.  LA TRINIDAD,59,Menor,10,Similar,9%,40%,31%,19%,1%,Inglés
105212000511,COPACABANA,INSTITUCIÓN EDUCATIVA PRESBITERO BERNARDO MONTOYA,53,Similar,12,Similar,32%,37%,17%,11%,3%,Inglés
305212000031,COPACABANA,COLEGIO LA ASUNCION,61,Menor,13,Similar,14%,21%,34%,21%,10%,Inglés
105212000082,COPACABANA,I. E. SAN LUIS GONZAGA,53,Similar,11,Similar,34%,35%,18%,12%,1%,Inglés
105212000163,COPACABANA,INSTITUCION EDUCATIVA JOSE MIGUEL DE RESTREPO Y PUERTA,56,Menor,10,Similar,19%,40%,26%,12%,2%,Inglés
105212000112,COPACABANA,I. E. ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA,67,Menor,11,Similar,0%,19%,38%,31%,13%,Inglés
305212000871,COPACABANA,COLEGIO SANTA LEONI AVIAT,71,Menor,13,Similar,3%,19%,14%,36%,28%,Inglés
205212000061,COPACABANA,INSTITUCION EDUCATIVA RURAL GRANJAS INFANTILES,49,Similar,9,Similar,46%,40%,11%,3%,0%,Inglés
105212000368,COPACABANA,I. E. VILLANUEVA,51,Similar,11,Similar,55%,21%,14%,7%,3%,Inglés
405212001031,COPACABANA,COLEGIO SAN RAFAEL,59,Menor,13,Similar,14%,43%,20%,14%,9%,Inglés
205234001672,DABEIBA,I. E. R. INDIGENISTA LLANO GORDO,33,Mayor,1,Mayor,100%,0%,0%,0%,0%,Inglés
205234000366,DABEIBA,I. E. R. URAMA,46,Similar,10,Similar,69%,19%,13%,0%,0%,Inglés
105234000086,DABEIBA,I. E. MADRE LAURA MONTOYA,47,Similar,9,Similar,56%,32%,7%,5%,0%,Inglés
105234000531,DABEIBA,I. E.  JUAN HENRIQUE WHITE,44,Similar,9,Similar,73%,22%,2%,2%,0%,Inglés
